1,0,0,0,0,0,5.80E-05,1,0,0,0,0,0,5.80E-05,1,0,0,0,0,0,8.97E-03
0.742,2.96,0.352,0,0,0,-1.12E-04,0.172,1.133,0.404,0,0,0,-6.00E-06,-0.0428,0.7025,-0.2243,0,0,0,9.95E-03
-0.239,-0.362,0.617,0,0,0,7.03E-05,0.172,0.404,1.133,0,0,0,-6.00E-06,0.13129,0.0477,2.552,0,0,0,-1.59E-02
0,0,0,4.962,0,0,0,0,0,0,1.751,0,0,0,0,0,0,0.3699,0,0,0.00E+00
0,0,0,0,2.196,0,0,0,0,0,0,2.247,0,0,0,0,0,0,2.0529,0,0.00E+00
0,0,0,0,0,0.294,0,0,0,0,0,0,1.751,0,0,0,0,0,0,4.3538,0.00E+00
